fixed acidity,citric acid,residual sugar,sulfur dioxide,density,pH,alcohol,quality
7,0.36,20.7,170,1.001,3,8.8,6
6.3,0.34,1.6,132,0.994,3.3,9.5,6
8.1,0.4,6.9,97,0.9951,3.26,10.1,6
7.2,0.32,8.5,186,0.9956,3.19,9.9,6
7.2,0.32,8.5,186,0.9956,3.19,9.9,6
8.1,0.4,6.9,97,0.9951,3.26,10.1,6
6.2,0.16,7,136,0.9949,3.18,9.6,6
7,0.36,20.7,170,1.001,3,8.8,6
6.3,0.34,1.6,132,0.994,3.3,9.5,6
8.1,0.43,1.5,129,0.9938,3.22,11,6
8.1,0.41,1.45,63,0.9908,2.99,12,5
8.6,0.4,4.2,109,0.9947,3.14,9.7,5
7.9,0.37,1.2,75,0.992,3.18,10.8,5
6.6,0.4,1.5,143,0.9912,3.54,12.4,7
8.3,0.62,19.25,172,1.0002,2.98,9.7,5
6.6,0.38,1.5,112,0.9914,3.25,11.4,7
6.3,0.04,1.1,99,0.9928,3.24,9.6,6
7.4,0.42,1.1,171,0.9917,3.12,11.3,6
6.5,0.14,7.5,133,0.9955,3.22,9.5,5
6.4,0.38,2.9,102,0.9912,3.17,11,7
6.8,0.42,1.7,122,0.993,3.47,10.5,8
6.6,0.41,1.3,142,0.9951,3.42,10,6
7,0.32,9,245,0.9955,3.25,10.4,6
6.9,0.35,1,146,0.993,3.45,10,6
7,0.39,8.7,141,0.9961,3.38,10.5,6
7.4,0.48,1.1,132,0.9914,3.19,11.6,6
7.2,0.36,2,114,0.9906,3.1,12.3,7
8.5,0.39,10.4,142,0.9974,3.2,10,6
8.3,0.34,1.1,47,0.9934,3.47,10.2,6
7.4,0.36,2.05,100,0.992,3.19,10.8,6
6.2,0.34,1.5,117,0.9939,3.42,9,6
5.8,0.2,14.95,179,0.9962,3.37,10.2,5
7.3,0.43,1.7,123,0.9905,3.19,12.8,5
6.5,0.23,5.4,149,0.9934,3.24,10,5
7,0.32,1.2,138,0.9906,3.13,11.2,6
7.3,0.39,17.95,149,0.9999,3.21,8.6,5
7.3,0.39,17.95,149,0.9999,3.21,8.6,5
7,0.26,7.4,160,0.9954,3.13,9.8,6
6.6,0.27,1.4,152,0.9934,3.22,9.5,6
6.7,0.26,1.4,154,0.9934,3.24,9.5,6
7.4,0.31,1.4,167,0.9931,3.16,10,7
6.2,0.26,4.4,206,0.994,3.27,9.8,4
6.2,0.25,4.4,207,0.9939,3.25,9.8,5
7,0.26,7.4,160,0.9954,3.13,9.8,6
6.9,0.35,5,150,0.995,3.36,9.8,5
7.2,0.31,1.6,173,0.9917,3.35,11.7,6
6.6,0.29,1.1,124,0.9914,3.34,11,7
6.2,0.33,1.1,82,0.991,3.32,10.9,7
6.4,0.35,1,108,0.9911,3.31,10.9,6
6.9,0.35,1.3,191,0.9908,3.13,11,6
7.2,0.34,11.9,213,0.9962,3.09,9.6,6
6,0.26,12.4,147,0.9972,3.3,8.9,6
6.6,0.15,4.6,78,0.9931,3.11,10.2,6
7.4,0.36,1.2,111,0.9926,3.36,9.9,6
6.8,0.24,4.9,123,0.9951,3.03,8.6,6
6,0.26,12.4,147,0.9972,3.3,8.9,6
7,0.07,1.1,151,0.991,3.02,10.5,5
6.6,0.15,4.6,78,0.9931,3.11,10.2,6
7.2,0.27,1.4,122,0.9927,3.15,10.3,6
6.2,0.03,1.2,120,0.9934,3.22,9.1,5
6.4,0.24,6.4,124,0.9903,3.22,12.6,7
6.7,0.13,1.2,174,0.992,3.14,9.8,5
6.7,0.31,2.1,96,0.9926,3.33,10.7,8
7.4,0.29,10.1,105,0.9962,3.13,9.5,5
6.2,0.43,7.8,244,0.9956,3.1,9,6
6.8,0.23,4.6,238.5,0.9958,3.32,9.5,5
8.6,0.46,1,72,0.9941,2.95,9.1,6
6.7,0.31,2.1,96,0.9926,3.33,10.7,8
7.4,0.29,10.1,105,0.9962,3.13,9.5,5
7.1,0.36,1.4,87,0.9898,3.26,12.7,7
7,0.34,1.3,69,0.9912,3.31,12,7
7.4,0.3,8.8,103,0.9961,2.94,9.3,5
6.7,0.28,5.4,105,0.9949,3.27,9,5
6.8,0.31,1.4,114,0.9929,3.39,10.6,6
7.1,0.34,16,166,0.9985,3.21,9.2,6
7.1,0.2,6.1,164,0.9946,3.17,10,5
7.3,0.3,8.2,207,0.9966,3.33,9.5,6
7.1,0.61,11.8,155,0.9974,3.11,8.7,5
7.1,0.62,11.8,152,0.9975,3.12,8.7,6
7.2,0.63,11,156,0.9974,3.09,8.7,6
6.8,0.31,13.3,202,0.9972,3.22,9.7,6
7.1,0.61,11.8,155,0.9974,3.11,8.7,5
7.1,0.62,11.8,152,0.9975,3.12,8.7,6
7.2,0.63,11,156,0.9974,3.09,8.7,6
6.1,0.43,7.5,243,0.9957,3.12,9,5
6.9,0.33,1.7,136,0.99,3.26,12.6,7
6.9,0.33,1.8,136,0.9899,3.25,12.6,7
7.5,0.32,1.7,148,0.9916,3.21,11.5,7
7.1,0.29,12.4,240,0.9969,3.04,9.2,6
6,0.66,15.9,164,0.9979,3.14,8.8,6
8.6,0.36,1.2,80,0.9913,2.95,11.4,7
6,0.66,15.9,164,0.9979,3.14,8.8,6
7.4,0.37,13.5,192,0.9975,3,9.1,5
7.1,0.32,9.6,162,0.9962,3.4,9.4,5
6,0.24,12.1,164,0.997,3.34,9.4,5
7.5,0.4,18.9,170,1,2.99,9,5
7.4,0.37,13.5,192,0.9975,3,9.1,5
7.3,0.32,14.4,109,0.9974,3.2,9.2,6
7.1,0.32,9.6,162,0.9962,3.4,9.4,5
7.1,0.35,16.5,171,0.999,3.16,9.1,6
7.1,0.35,16.5,171,0.999,3.16,9.1,6
6.9,0.28,1.3,187,0.9927,3.27,10.3,5
6.5,0.54,8.5,163,0.9959,2.89,8.8,6
7.2,0.46,18.75,255,1,3.04,8.9,5
7.2,0.5,13.3,195,0.9982,3.01,9.2,5
6.7,0.34,9.2,150,0.9968,3.22,9.1,5
6.7,0.34,9.2,150,0.9968,3.22,9.1,5
5.5,0,1.5,103,0.994,3.63,9.7,4
6,0.24,3.3,143,0.9914,3.31,11.3,6
7,0.4,1.7,85,0.9911,3.19,11.8,6
7.2,0.5,13.3,195,0.9982,3.01,9.2,5
7.3,0.48,13.3,196,0.9982,3.04,9.2,5
5.9,0.04,5.7,87,0.9934,3.22,10.2,5
7.8,0.32,12.2,138,0.9984,3.01,8.8,5
7.4,0.31,6.85,131,0.9952,3.29,9.7,5
6.9,0.28,5,146,0.9952,3.29,9.1,6
6.4,0.47,1.6,158,0.9928,3.21,9.8,6
6.7,0.36,1.1,143,0.9912,3.27,11,6
7.4,0.23,7,126,0.994,3.14,10.5,5
6.5,0.32,7.6,203,0.9958,3.45,9.7,7
6.1,0.56,2.8,179,0.9924,3.3,10.9,7
6.1,0.56,2.7,184,0.9924,3.31,10.9,6
5.7,0.25,10.4,57,0.994,3.39,10.6,5
6.5,0.32,7.6,203,0.9958,3.45,9.7,7
6.5,0.4,13.1,241,0.9979,3.23,9,5
6.6,0.27,15.8,188,0.9982,3.24,9.2,5
6.8,0.22,8.1,203,0.9961,3.19,8.9,5
6.7,0.31,15.7,179,0.9979,3.26,9.6,5
8.2,0.4,1.2,121,0.992,3.12,10.7,6
7.1,0.67,10.5,155,0.9975,3.16,8.7,5
6.8,0.36,1.9,96,0.9917,3.15,10.8,7
8.1,0.39,1.9,79,0.9923,3.23,11.8,6
6.3,0.34,2.2,77,0.9927,3.3,10.2,5
7.1,0.67,10.5,155,0.9975,3.16,8.7,5
7.9,0.4,1.2,107,0.992,3.21,10.8,6
8.5,0.41,4.3,99,0.9947,3.18,9.7,6
8.1,0.4,2,87,0.9921,3.12,11.2,6
6.3,0.37,1.1,114,0.9905,3,10.9,6
5.6,0.27,1.4,168,0.9918,3.28,10.1,6
6.3,0.33,4.6,80,0.9917,3.38,12,7
6.9,0.3,4.1,116,0.994,2.99,9.4,6
7.9,0.38,8,152,0.9934,3.12,11.5,7
7.6,0.46,10.2,135,0.9968,3.14,9.9,6
6.9,0.3,4.1,116,0.994,2.99,9.4,6
7.2,0.41,1.2,97,0.9919,3.14,10.4,5
7.4,0.42,14,198,0.9979,2.89,8.9,6
7.4,0.42,14,198,0.9979,2.89,8.9,6
6.1,0.24,1.5,124,0.9898,3.29,12.4,7
5.2,0.04,1.4,119,0.9894,3.36,12.1,8
5.2,0.04,1.4,119,0.9894,3.36,12.1,8
6.1,0.24,1.5,124,0.9898,3.29,12.4,7
6.4,0.56,14.5,159,0.998,2.98,9.1,5
6.3,0.3,4.8,85,0.9932,3.28,10.6,5
7.4,0.42,14,198,0.9979,2.89,8.9,6
6.7,0.35,13.1,205,0.997,3.15,9.5,5
7,0.36,13,177,0.9972,3.16,9.8,5
8.4,0.46,8.7,197,0.9974,3.14,9.6,6
6.7,0.18,2.4,98,0.9896,3.08,12.6,7
7.5,0.31,8.95,151,0.9968,3.08,9.3,5
7.1,0.46,1.5,133,0.9906,3.12,12.7,6
7.9,0.45,1.5,96,0.9917,3.13,11,6
7.6,0.37,0.8,100,0.9902,3.03,11.4,4
6.3,0.43,4.55,130,0.9918,3.35,11.5,7
7.5,0.31,17.7,173,0.999,3.09,10.2,5
6.9,0.4,7.5,151,0.9927,3.11,11.4,6
7.2,0.47,5.1,65,0.991,3.03,12.6,4
5.9,0.3,12.9,170,0.9972,3.28,9.4,5
6.4,0.32,5.5,176,0.995,3.19,9.2,6
6.4,0.31,5.5,173,0.9951,3.19,9.3,6
7.1,0.15,1.2,183,0.9936,3.09,9.2,5
6.9,0.4,14,227,0.9979,3.18,9.6,6
6.8,0.56,11.9,226,0.997,3.02,9.3,5
6.8,0.56,11.9,230,0.9972,3.02,9.3,5
6.7,0.41,9.4,166,0.9954,3.12,9.9,6
5.9,0.23,4.2,119,0.9924,3.15,11,5
6.8,0.35,3.8,109,0.9906,3.26,12.7,8
6.5,0.28,8.5,210,0.9962,3.09,8.9,4
6.6,0.28,8.5,211,0.9962,3.09,8.9,6
6.8,0.36,8,123,0.9928,3.02,11.4,6
6.6,0.34,5.1,125,0.9942,3.36,9.6,5
6.8,0.24,7.8,214,0.9961,3.13,8.9,5
7.1,0.24,13.1,204,0.998,3.1,8.8,5
6.8,0.24,7.8,214,0.9961,3.13,8.9,5
